,0,1,2,3,4,5,6,7,8,9,10,11,AIC,BIC
776,0,0,1,1,0,0,0,0,1,0,0,0,43.87616298,79.22679538
577,0,0,1,0,0,1,0,0,0,0,0,1,43.87886403,79.22949643
228,0,0,0,0,1,1,1,0,0,1,0,0,41.54375902,79.25110025
1089,0,1,0,0,0,1,0,0,0,0,0,1,43.9037952,79.2544276
149,0,0,0,0,1,0,0,1,0,1,0,1,41.57882191,79.28616314
2304,1,0,0,1,0,0,0,0,0,0,0,0,46.33606782,79.3299914
2050,1,0,0,0,0,0,0,0,0,0,1,0,46.33799105,79.33191463
84,0,0,0,0,0,1,0,1,0,1,0,0,43.99548936,79.34612176
1280,0,1,0,1,0,0,0,0,0,0,0,0,46.39505249,79.38897606
3072,1,1,0,0,0,0,0,0,0,0,0,0,46.41668094,79.41060451
2560,1,0,1,0,0,0,0,0,0,0,0,0,46.41711257,79.41103615
2072,1,0,0,0,0,0,0,1,1,0,0,0,44.1205372,79.4711696
143,0,0,0,0,1,0,0,0,1,1,1,1,39.41182969,79.47587974
280,0,0,0,1,0,0,0,1,1,0,0,0,44.13212371,79.48275611
67,0,0,0,0,0,1,0,0,0,0,1,1,44.14663081,79.49726321
524,0,0,1,0,0,0,0,0,1,1,0,0,44.18211202,79.53274442
396,0,0,0,1,1,0,0,0,1,1,0,0,41.8272253,79.53456652
212,0,0,0,0,1,1,0,1,0,1,0,0,41.85831806,79.56565929
3,0,0,0,0,0,0,0,0,0,0,1,1,46.58237454,79.57629812
88,0,0,0,0,0,1,0,1,1,0,0,0,44.25189369,79.60252609
216,0,0,0,0,1,1,0,1,1,0,0,0,41.92927952,79.63662074
232,0,0,0,0,1,1,1,0,1,0,0,0,41.92973634,79.63707756
209,0,0,0,0,1,1,0,1,0,0,0,1,41.93136799,79.63870922
225,0,0,0,0,1,1,1,0,0,0,0,1,41.94011998,79.64746121
266,0,0,0,1,0,0,0,0,1,0,1,0,44.32321934,79.67385174
240,0,0,0,0,1,1,1,1,0,0,0,0,41.97238716,79.67972839
34,0,0,0,0,0,0,1,0,0,0,1,0,46.71812672,79.71205029
273,0,0,0,1,0,0,0,1,0,0,0,1,44.42041173,79.77104413
2696,1,0,1,0,1,0,0,0,1,0,0,0,42.07236917,79.7797104
151,0,0,0,0,1,0,0,1,0,1,1,1,39.71886525,79.7829153
677,0,0,1,0,1,0,1,0,0,1,0,1,39.75634903,79.82039908
2312,1,0,0,1,0,0,0,0,1,0,0,0,44.4971636,79.847796
768,0,0,1,1,0,0,0,0,0,0,0,0,46.86286264,79.85678621
17,0,0,0,0,0,0,0,1,0,0,0,1,46.86613928,79.86006285
258,0,0,0,1,0,0,0,0,0,0,1,0,46.87651073,79.8704343
3080,1,1,0,0,0,0,0,0,1,0,0,0,44.5529459,79.90357831
516,0,0,1,0,0,0,0,0,0,1,0,0,46.924987,79.91891057
35,0,0,0,0,0,0,1,0,0,0,1,1,44.5745844,79.9252168
545,0,0,1,0,0,0,1,0,0,0,0,1,44.59531192,79.94594432
421,0,0,0,1,1,0,1,0,0,1,0,1,39.91631689,79.98036695
2434,1,0,0,1,1,0,0,0,0,0,1,0,42.30646114,80.01380236
2704,1,0,1,0,1,0,0,1,0,0,0,0,42.31378645,80.02112768
