,0,1,2,3,4,5,6,7,8,9,10,AIC,BIC
1030,1,0,0,0,0,0,0,0,1,1,0,42.12006749,75.11399107
236,0,0,0,1,1,1,0,1,1,0,0,37.41975549,75.12709671
102,0,0,0,0,1,1,0,0,1,1,0,39.78254231,75.13317471
272,0,0,1,0,0,0,1,0,0,0,0,44.50775504,75.14496978
1125,1,0,0,0,1,1,0,0,1,0,1,37.43887635,75.14621758
518,0,1,0,0,0,0,0,0,1,1,0,42.17751604,75.17143961
1058,1,0,0,0,0,1,0,0,0,1,0,42.25978078,75.25370436
17,0,0,0,0,0,0,1,0,0,0,1,44.63434953,75.27156428
198,0,0,0,1,1,0,0,0,1,1,0,39.93016118,75.28079358
105,0,0,0,0,1,1,0,1,0,0,1,39.9305571,75.2811895
108,0,0,0,0,1,1,0,1,1,0,0,39.93407001,75.28470241
116,0,0,0,0,1,1,1,0,1,0,0,39.9347049,75.2853373
230,0,0,0,1,1,1,0,0,1,1,0,37.58063432,75.28797555
113,0,0,0,0,1,1,1,0,0,0,1,39.94095837,75.29159077
142,0,0,0,1,0,0,0,1,1,1,0,39.95982692,75.31045932
1152,1,0,0,1,0,0,0,0,0,0,0,44.69623354,75.33344828
1536,1,1,0,0,0,0,0,0,0,0,0,44.70002777,75.33724251
1280,1,0,1,0,0,0,0,0,0,0,0,44.72288553,75.36010028
120,0,0,0,0,1,1,1,1,0,0,0,40.01653362,75.36716602
14,0,0,0,0,0,0,0,1,1,1,0,42.37730042,75.37122399
532,0,1,0,0,0,0,1,0,1,0,0,42.41594921,75.40987278
640,0,1,0,1,0,0,0,0,0,0,0,44.85641721,75.49363196
49,0,0,0,0,0,1,1,0,0,0,1,42.50170024,75.49562381
1033,1,0,0,0,0,0,0,1,0,0,1,42.5081512,75.50207477
273,0,0,1,0,0,0,1,0,0,0,1,42.52715602,75.52107959
587,0,1,0,0,1,0,0,1,0,1,1,37.90826679,75.61560802
384,0,0,1,1,0,0,0,0,0,0,0,44.98324342,75.62045816
148,0,0,0,1,0,0,1,0,1,0,0,42.65376043,75.647684
1095,1,0,0,0,1,0,0,0,1,1,1,37.94500983,75.65235106
1099,1,0,0,0,1,0,0,1,0,1,1,37.94998266,75.65732389
656,0,1,0,1,0,0,1,0,0,0,0,42.72030474,75.71422831
296,0,0,1,0,0,1,0,1,0,0,0,42.74182668,75.73575026
205,0,0,0,1,1,0,0,1,1,0,1,38.04656133,75.75390255
357,0,0,1,0,1,1,0,0,1,0,1,38.05976362,75.76710484
38,0,0,0,0,0,1,0,0,1,1,0,42.81999336,75.81391693
145,0,0,0,1,0,0,1,0,0,0,1,42.88106345,75.87498703
388,0,0,1,1,0,0,0,0,1,0,0,42.89195442,75.88587799
589,0,1,0,0,1,0,0,1,1,0,1,38.26063865,75.96797988
613,0,1,0,0,1,1,0,0,1,0,1,38.26961278,75.976954
1094,1,0,0,0,1,0,0,0,1,1,0,40.63483803,75.98547043
597,0,1,0,0,1,0,1,0,1,0,1,38.2794662,75.98680743
529,0,1,0,0,0,0,1,0,0,0,1,42.99471854,75.98864212
213,0,0,0,1,1,0,1,0,1,0,1,38.30900312,76.01634435
229,0,0,0,1,1,1,0,0,1,0,1,38.31747145,76.02481268
7,0,0,0,0,0,0,0,0,1,1,1,43.04747317,76.04139675
1123,1,0,0,0,1,1,0,0,0,1,1,38.33856183,76.04590306
768,0,1,1,0,0,0,0,0,0,0,0,45.42486741,76.06208216
452,0,0,1,1,1,0,0,0,1,0,0,40.72343373,76.07406613
265,0,0,1,0,0,0,0,1,0,0,1,43.10884153,76.10276511
1109,1,0,0,0,1,0,1,0,1,0,1,38.41657155,76.12391278
